Species,ICPM_M,ICPM_m,total_teeth
Elephant,1.0.3.3,0.0.3.3,26
Sheep,0.0.3.3,4.0.3.3,32
Cow,0.0.3.3,4.0.3.3,32
Moose,0.0.3.3,3.1.3.3,32
Pronghorn,0.0.3.3,3.1.3.3,32
Bison,0.0.3.3,3.1.3.3,32
Whitetaildeer,0.0.3.3,3.1.3.3,32
Mountain goat,0.0.3.3,3.1.3.3,32
Muskox,0.0.3.3,3.1.3.3,32
Bighorn,0.0.3.3,3.1.3.3,32
Armadillo,0.0.7.1,0.0.7.1,32
Elk,0.1.3.3,3.1.3.3,34
Caribou,0.1.3.3,3.1.3.3,34
Pallidbat,1.1.1.3,2.1.2.3,28
Hognose bat,2.1.2.3,0.1.3.3,30
Langnose bat,2.1.2.2,2.1.3.2,30
Sifaka,2.1.2.3,2.0.2.3,30
CommonMarmoset,2.1.3.2,2.1.3.2,32
Aye-Aye,2.1.2.3,2.1.2.3,32
Shrew,3.1.3.3,1.1.1.3,32
Sea otter,3.1.3.1,2.1.3.2,32
Llama,1.1.1-2.3,3.1.1-2.3,28-32
Guanaco,1.1.1-2.3,3.1.1-2.3,28-32
Alpaca,1.1.1-2.3,3.1.1-2.3,28-32
Vicu¤a,1.1.1-2.3,3.1.1-2.3,28-32
Human,2.1.2.3,2.1.2.3,32
Tarsier monkey,2.1.2.3,2.1.2.3,32
Stripedskunk,3.1.3.1,3.1.3.2,34
Weasels,3.1.3.1,3.1.3.2,34
Badger,3.1.3.1,3.1.3.2,34
Mink,3.1.3.1,3.1.3.2,34
Ring-tailedlemur,2.1.3.3,2.1.3.3,36
Galago,2.1.3.3,2.1.3.3,36
Loris,2.1.3.3,2.1.3.3,36
capuchinmonkey,2.1.3.3,2.1.3.3,36
Peccary,2.1.3.3,3.1.3.3,38
Marten,3.1.4.1,3.1.4.2,38
Racoon,3.1.4.2,3.1.4.2,40
Coati,3.1.4.2,3.1.4.2,40
Horse,3.0-1.3-4.3,3.0-1.3.3,36-42
Pig,3.1.4.3,3.1.4.3,44
Wild pig,3.1.4.3,3.1.4.3,44
Opossum,5.1.3.4,4.1.3.4,50
House mouse,1.0.0.3,1.0.0.3,16
Muskrat,1.0.0.3,1.0.0.3,16
Rice rat,1.0.0.3,1.0.0.3,16
Jumping mouse,1.0.1.3,1.0.0.3,18
Beaver,1.0.1.3,1.0.1.3,20
Kangaroorat,1.0.1.3,1.0.1.3,20
Porcupine,1.0.1.3,1.0.1.3,20
Geomys,1.0.1.3,1.0.1.3,20
Nutria,1.0.1.3,1.0.1.3,20
Apache foxsquirre,1.0.1.3,1.0.1.3,20
Mountain Beaver,1.0.2.3,1.0.1.3,22
Golden-mantledsquirrel,1.0.2.3,1.0.1.3,22
Chipmunks,1.0.2.3,1.0.1.3,22
Red squirrel,1.0.2.3,1.0.1.3,22
Prairie dog,1.0.2.3,1.0.1.3,22
Marmota,1.0.2.3,1.0.1.3,22
Pikas,2.0.3.2,1.0.2.3,26
Rabbit,2.0.3.3,1.0.2.3,28
Hare,2.0.3.3,1.0.2.3,28
Lynx,3.1.2.1,3.1.2.1,28
Jaguar,3.1.3.1,3.1.2.1,30
Cat,3.1.3.1,3.1.2.1,30
Lion,3.1.3.1,3.1.2.1,30
Ocelote,3.1.3.1,3.1.2.1,30
Arcticfox,3.1.4.2,3.1.4.3,42
Grey fox,3.1.4.2,3.1.4.3,42
Coyote,3.1.4.2,3.1.4.3,42
Brown bear,3.1.4.2,3.1.4.3,42
Polar bear,3.1.4.2,3.1.4.3,42
Grizzlybear,3.1.4.2,3.1.4.3,42
Black bear,3.1.4.2,3.1.4.3,42
Wolf,3.1.4.2,3.1.4.3,42
Dog,3.1.4.2,3.1.4.3,42
