Order,Family,Species,Dental formula
Insectivora,Soricidae,Sorex anereus,3.1.3.3/1.1.1.3
Insectivora,Talpidae,Condylura cristata,3.1.4.3/3.1.4.3
Insectivora,Talpidae,Scalopus aquaticus,3.1.3.3/2.0.3.3
Primata,Notharctidae,Cantius frugivorus,2.1.4.3/2.1.4.3
Primata,Notharctidae,Europolemur klatti,2.1.3.3/2.1.3.3
Primata,Adapidae,Adapis parisiensis,2.1.4.3/2.1.4.3
Primata,Megalapidae,Megalodopis edwardsi,0.1.3.3/2.1.3.3
Primata,Idriidae,Mesopropithecus pithecoides,2.1.2.3/2.0.2.3
Primata,Daubentonidae,Daubentonia magadascarensis,1.0.1.3/1.0.0.3
Primata,Paraptecidae,Qatrania wingi,2.1.3.3/2.1.3.3
Primata,Paraptecidae,Parapithecus grangeri,2.1.3.3/0.1.3.3
Primata,Cebidae,Cebus apella,2.1.3.3/2.1.3.3
Primata,Pongidae,Pan troglodytes,2.1.2.3/2.1.2.3
Carnivora,Canidae,Vulpes vulva,3.1.4.2/3.1.4.3
Carnivora,Mustelidae,Mustela nivalis,3.1.3.1/3.1.3.2
Carnivora,Felidae,Felis linx,3.1.2.1/3.1.2.1
Carnivora,Felidae,Felis concolor,3.1.3.1/3.1.2.1
Carnivora,Ursidae,Ailuropoda melanoleuca,3.1.4.2/3.1.4.3
Carnivora,Ursidae,Ursus americanus,3.1.4.2/3.1.4.3
Artiodactyla,Suina,Sus scrofa,3.1.4.3/3.1.4.3
Artiodactyla,Bovidae,Ovis canadensis,0.0.3.3/3.1.3.3
Artiodactyla,Camelidae,Camelus dromedarius,1.1.3.3/3.1.2.3
Artiodactyla,Camelidae,Lama glama,1.1.3.3/3.1.3.3
Artiodactyla,Cervidae,Cervus spp,0.1.3.3/3.1.3.3
Rodentia,Sciuridae,Marmota monax,1.0.2.3/1.0.1.3
Rodentia,Sciuridae,Tamias striatus,1.0.1.3/1.0.1.3
Rodentia,Muridae,Rattus rattus,1.0.0.3/1.0.0.3
Rodentia,Zapodidae,Zapus hudsonius,1.0.1.3/1.0.0.3
